
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-0.0665283μm	74.4579μm	1057.42μm

theta = -0.127079	 SumSqErr = 1221.52
theta = -0.126979	 SumSqErr = 1219.6
theta = -0.126879	 SumSqErr = 1217.69
theta = -0.126779	 SumSqErr = 1215.78
theta = -0.126679	 SumSqErr = 1213.87
theta = -0.126579	 SumSqErr = 1211.96
theta = -0.126479	 SumSqErr = 1210.05
theta = -0.126379	 SumSqErr = 1208.14
theta = -0.126279	 SumSqErr = 1206.24
theta = -0.126179	 SumSqErr = 1204.34
theta = -0.126079	 SumSqErr = 1202.43
theta = -0.125979	 SumSqErr = 1200.54
theta = -0.125879	 SumSqErr = 1198.64
theta = -0.125779	 SumSqErr = 1196.74
theta = -0.125679	 SumSqErr = 1194.84
theta = -0.125579	 SumSqErr = 1192.95
theta = -0.125479	 SumSqErr = 1191.06
theta = -0.125379	 SumSqErr = 1189.17
theta = -0.125279	 SumSqErr = 1187.28
theta = -0.125179	 SumSqErr = 1185.39
theta = -0.125079	 SumSqErr = 1183.5
theta = -0.124979	 SumSqErr = 1181.62
theta = -0.124879	 SumSqErr = 1179.73
theta = -0.124779	 SumSqErr = 1177.85
theta = -0.124679	 SumSqErr = 1175.97
theta = -0.124579	 SumSqErr = 1174.09
theta = -0.124479	 SumSqErr = 1172.22
theta = -0.124379	 SumSqErr = 1170.34
theta = -0.124279	 SumSqErr = 1168.47
theta = -0.124179	 SumSqErr = 1166.59
theta = -0.124079	 SumSqErr = 1164.72
theta = -0.123979	 SumSqErr = 1162.85
theta = -0.123879	 SumSqErr = 1160.98
theta = -0.123779	 SumSqErr = 1159.12
theta = -0.123679	 SumSqErr = 1157.25
theta = -0.123579	 SumSqErr = 1155.39
theta = -0.123479	 SumSqErr = 1153.52
theta = -0.123379	 SumSqErr = 1151.66
theta = -0.123279	 SumSqErr = 1149.8
theta = -0.123179	 SumSqErr = 1147.95
theta = -0.123079	 SumSqErr = 1146.09
theta = -0.122979	 SumSqErr = 1144.23
theta = -0.122879	 SumSqErr = 1142.38
theta = -0.122779	 SumSqErr = 1140.53
theta = -0.122679	 SumSqErr = 1138.68
theta = -0.122579	 SumSqErr = 1136.83
theta = -0.122479	 SumSqErr = 1134.98
theta = -0.122379	 SumSqErr = 1133.14
theta = -0.122279	 SumSqErr = 1131.29
theta = -0.122179	 SumSqErr = 1129.45
theta = -0.122079	 SumSqErr = 1127.61
theta = -0.121979	 SumSqErr = 1125.76
theta = -0.121879	 SumSqErr = 1123.93
theta = -0.121779	 SumSqErr = 1122.09
theta = -0.121679	 SumSqErr = 1120.25
theta = -0.121579	 SumSqErr = 1118.42
theta = -0.121479	 SumSqErr = 1116.59
theta = -0.121379	 SumSqErr = 1114.76
theta = -0.121279	 SumSqErr = 1112.93
theta = -0.121179	 SumSqErr = 1111.1
theta = -0.121079	 SumSqErr = 1109.27
theta = -0.120979	 SumSqErr = 1107.45
theta = -0.120879	 SumSqErr = 1105.62
theta = -0.120779	 SumSqErr = 1103.8
theta = -0.120679	 SumSqErr = 1101.98
theta = -0.120579	 SumSqErr = 1100.16
theta = -0.120479	 SumSqErr = 1098.35
theta = -0.120379	 SumSqErr = 1096.53
theta = -0.120279	 SumSqErr = 1094.71
theta = -0.120179	 SumSqErr = 1092.9
theta = -0.120079	 SumSqErr = 1091.09
theta = -0.119979	 SumSqErr = 1089.28
theta = -0.119879	 SumSqErr = 1087.47
theta = -0.119779	 SumSqErr = 1085.66
theta = -0.119679	 SumSqErr = 1083.86
theta = -0.119579	 SumSqErr = 1082.05
theta = -0.119479	 SumSqErr = 1080.25
theta = -0.119379	 SumSqErr = 1078.45
theta = -0.119279	 SumSqErr = 1076.65
theta = -0.119179	 SumSqErr = 1074.85
theta = -0.119079	 SumSqErr = 1073.06
theta = -0.118979	 SumSqErr = 1071.26
theta = -0.118879	 SumSqErr = 1069.47
theta = -0.118779	 SumSqErr = 1067.68
theta = -0.118679	 SumSqErr = 1065.88
theta = -0.118579	 SumSqErr = 1064.09
theta = -0.118479	 SumSqErr = 1062.31
theta = -0.118379	 SumSqErr = 1060.52
theta = -0.118279	 SumSqErr = 1058.74
theta = -0.118179	 SumSqErr = 1056.95
theta = -0.118079	 SumSqErr = 1055.17
theta = -0.117979	 SumSqErr = 1053.39
theta = -0.117879	 SumSqErr = 1051.62
theta = -0.117779	 SumSqErr = 1049.84
theta = -0.117679	 SumSqErr = 1048.06
theta = -0.117579	 SumSqErr = 1046.29
theta = -0.117479	 SumSqErr = 1044.51
theta = -0.117379	 SumSqErr = 1042.74
theta = -0.117279	 SumSqErr = 1040.97
theta = -0.117179	 SumSqErr = 1039.2
theta = -0.117079	 SumSqErr = 1037.44
theta = -0.116979	 SumSqErr = 1035.67
theta = -0.116879	 SumSqErr = 1033.91
theta = -0.116779	 SumSqErr = 1032.15
theta = -0.116679	 SumSqErr = 1030.39
theta = -0.116579	 SumSqErr = 1028.63
theta = -0.116479	 SumSqErr = 1026.87
theta = -0.116379	 SumSqErr = 1025.11
theta = -0.116279	 SumSqErr = 1023.36
theta = -0.116179	 SumSqErr = 1021.61
theta = -0.116079	 SumSqErr = 1019.85
theta = -0.115979	 SumSqErr = 1018.1
theta = -0.115879	 SumSqErr = 1016.36
theta = -0.115779	 SumSqErr = 1014.61
theta = -0.115679	 SumSqErr = 1012.86
theta = -0.115579	 SumSqErr = 1011.12
theta = -0.115479	 SumSqErr = 1009.38
theta = -0.115379	 SumSqErr = 1007.63
theta = -0.115279	 SumSqErr = 1005.9
theta = -0.115179	 SumSqErr = 1004.16
theta = -0.115079	 SumSqErr = 1002.42
theta = -0.114979	 SumSqErr = 1000.68
theta = -0.114879	 SumSqErr = 998.951
theta = -0.114779	 SumSqErr = 997.218
theta = -0.114679	 SumSqErr = 995.488
theta = -0.114579	 SumSqErr = 993.759
theta = -0.114479	 SumSqErr = 992.031
theta = -0.114379	 SumSqErr = 990.305
theta = -0.114279	 SumSqErr = 988.58
theta = -0.114179	 SumSqErr = 986.857
theta = -0.114079	 SumSqErr = 985.135
theta = -0.113979	 SumSqErr = 983.415
theta = -0.113879	 SumSqErr = 981.697
theta = -0.113779	 SumSqErr = 979.98
theta = -0.113679	 SumSqErr = 978.263
theta = -0.113579	 SumSqErr = 976.549
theta = -0.113479	 SumSqErr = 974.837
theta = -0.113379	 SumSqErr = 973.125
theta = -0.113279	 SumSqErr = 971.416
theta = -0.113179	 SumSqErr = 969.707
theta = -0.113079	 SumSqErr = 968.001
theta = -0.112979	 SumSqErr = 966.296
theta = -0.112879	 SumSqErr = 964.593
theta = -0.112779	 SumSqErr = 962.89
theta = -0.112679	 SumSqErr = 961.19
theta = -0.112579	 SumSqErr = 959.49
theta = -0.112479	 SumSqErr = 957.792
theta = -0.112379	 SumSqErr = 956.096
theta = -0.112279	 SumSqErr = 954.401
theta = -0.112179	 SumSqErr = 952.708
theta = -0.112079	 SumSqErr = 951.017
theta = -0.111979	 SumSqErr = 949.326
theta = -0.111879	 SumSqErr = 947.638
theta = -0.111779	 SumSqErr = 945.951
theta = -0.111679	 SumSqErr = 944.265
theta = -0.111579	 SumSqErr = 942.581
theta = -0.111479	 SumSqErr = 940.897
theta = -0.111379	 SumSqErr = 939.216
theta = -0.111279	 SumSqErr = 937.536
theta = -0.111179	 SumSqErr = 935.858
theta = -0.111079	 SumSqErr = 934.181
theta = -0.110979	 SumSqErr = 932.507
theta = -0.110879	 SumSqErr = 930.833
theta = -0.110779	 SumSqErr = 929.159
theta = -0.110679	 SumSqErr = 927.49
theta = -0.110579	 SumSqErr = 925.82
theta = -0.110479	 SumSqErr = 924.153
theta = -0.110379	 SumSqErr = 922.488
theta = -0.110279	 SumSqErr = 920.823
theta = -0.110179	 SumSqErr = 919.158
theta = -0.110079	 SumSqErr = 917.497
theta = -0.109979	 SumSqErr = 915.837
theta = -0.109879	 SumSqErr = 914.178
theta = -0.109779	 SumSqErr = 912.521
theta = -0.109679	 SumSqErr = 910.865
theta = -0.109579	 SumSqErr = 909.211
theta = -0.109479	 SumSqErr = 907.558
theta = -0.109379	 SumSqErr = 905.908
theta = -0.109279	 SumSqErr = 904.257
theta = -0.109179	 SumSqErr = 902.609
theta = -0.109079	 SumSqErr = 900.962
theta = -0.108979	 SumSqErr = 899.318
theta = -0.108879	 SumSqErr = 897.674
theta = -0.108779	 SumSqErr = 896.031
theta = -0.108679	 SumSqErr = 894.39
theta = -0.108579	 SumSqErr = 892.751
theta = -0.108479	 SumSqErr = 891.113
theta = -0.108379	 SumSqErr = 889.477
theta = -0.108279	 SumSqErr = 887.843
theta = -0.108179	 SumSqErr = 886.21
theta = -0.108079	 SumSqErr = 884.579
theta = -0.107979	 SumSqErr = 882.948
theta = -0.107879	 SumSqErr = 881.319
theta = -0.107779	 SumSqErr = 879.691
theta = -0.107679	 SumSqErr = 878.066
theta = -0.107579	 SumSqErr = 876.441
theta = -0.107479	 SumSqErr = 874.819
theta = -0.107379	 SumSqErr = 873.197
theta = -0.107279	 SumSqErr = 871.579
theta = -0.107179	 SumSqErr = 869.96
theta = -0.107079	 SumSqErr = 868.343
theta = -0.106979	 SumSqErr = 866.728
theta = -0.106879	 SumSqErr = 865.114
theta = -0.106779	 SumSqErr = 863.502
theta = -0.106679	 SumSqErr = 861.891
theta = -0.106579	 SumSqErr = 860.282
theta = -0.106479	 SumSqErr = 858.675
theta = -0.106379	 SumSqErr = 857.068
theta = -0.106279	 SumSqErr = 855.464
theta = -0.106179	 SumSqErr = 853.86
theta = -0.106079	 SumSqErr = 852.258
theta = -0.105979	 SumSqErr = 850.658
theta = -0.105879	 SumSqErr = 849.06
theta = -0.105779	 SumSqErr = 847.462
theta = -0.105679	 SumSqErr = 845.866
theta = -0.105579	 SumSqErr = 844.271
theta = -0.105479	 SumSqErr = 842.68
theta = -0.105379	 SumSqErr = 841.087
theta = -0.105279	 SumSqErr = 839.499
theta = -0.105179	 SumSqErr = 837.91
theta = -0.105079	 SumSqErr = 836.324
theta = -0.104979	 SumSqErr = 834.738
theta = -0.104879	 SumSqErr = 833.155
theta = -0.104779	 SumSqErr = 831.573
theta = -0.104679	 SumSqErr = 829.991
theta = -0.104579	 SumSqErr = 828.413
theta = -0.104479	 SumSqErr = 826.834
theta = -0.104379	 SumSqErr = 825.258
