
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.125379	 SumSqErr = 1184.56

theta = -0.125279	 SumSqErr = 1182.68

theta = -0.125179	 SumSqErr = 1180.79

theta = -0.125079	 SumSqErr = 1178.91

theta = -0.124979	 SumSqErr = 1177.03

theta = -0.124879	 SumSqErr = 1175.15

theta = -0.124779	 SumSqErr = 1173.27

theta = -0.124679	 SumSqErr = 1171.4

theta = -0.124579	 SumSqErr = 1169.52

theta = -0.124479	 SumSqErr = 1167.65

theta = -0.124379	 SumSqErr = 1165.77

theta = -0.124279	 SumSqErr = 1163.91

theta = -0.124179	 SumSqErr = 1162.04

theta = -0.124079	 SumSqErr = 1160.17

theta = -0.123979	 SumSqErr = 1158.3

theta = -0.123879	 SumSqErr = 1156.44

theta = -0.123779	 SumSqErr = 1154.57

theta = -0.123679	 SumSqErr = 1152.71

theta = -0.123579	 SumSqErr = 1150.85

theta = -0.123479	 SumSqErr = 1148.99

theta = -0.123379	 SumSqErr = 1147.14

theta = -0.123279	 SumSqErr = 1145.28

theta = -0.123179	 SumSqErr = 1143.43

theta = -0.123079	 SumSqErr = 1141.57

theta = -0.122979	 SumSqErr = 1139.72

theta = -0.122879	 SumSqErr = 1137.87

theta = -0.122779	 SumSqErr = 1136.02

theta = -0.122679	 SumSqErr = 1134.18

theta = -0.122579	 SumSqErr = 1132.33

theta = -0.122479	 SumSqErr = 1130.49

theta = -0.122379	 SumSqErr = 1128.65

theta = -0.122279	 SumSqErr = 1126.81

theta = -0.122179	 SumSqErr = 1124.97

theta = -0.122079	 SumSqErr = 1123.13

theta = -0.121979	 SumSqErr = 1121.29

theta = -0.121879	 SumSqErr = 1119.46

theta = -0.121779	 SumSqErr = 1117.63

theta = -0.121679	 SumSqErr = 1115.79

theta = -0.121579	 SumSqErr = 1113.96

theta = -0.121479	 SumSqErr = 1112.13

theta = -0.121379	 SumSqErr = 1110.31

theta = -0.121279	 SumSqErr = 1108.48

theta = -0.121179	 SumSqErr = 1106.66

theta = -0.121079	 SumSqErr = 1104.84

theta = -0.120979	 SumSqErr = 1103.01

theta = -0.120879	 SumSqErr = 1101.19

theta = -0.120779	 SumSqErr = 1099.38

theta = -0.120679	 SumSqErr = 1097.56

theta = -0.120579	 SumSqErr = 1095.74

theta = -0.120479	 SumSqErr = 1093.93

theta = -0.120379	 SumSqErr = 1092.12

theta = -0.120279	 SumSqErr = 1090.31

theta = -0.120179	 SumSqErr = 1088.5

theta = -0.120079	 SumSqErr = 1086.69

theta = -0.119979	 SumSqErr = 1084.88

theta = -0.119879	 SumSqErr = 1083.08

theta = -0.119779	 SumSqErr = 1081.28

theta = -0.119679	 SumSqErr = 1079.47

theta = -0.119579	 SumSqErr = 1077.67

theta = -0.119479	 SumSqErr = 1075.87

theta = -0.119379	 SumSqErr = 1074.08

theta = -0.119279	 SumSqErr = 1072.28

theta = -0.119179	 SumSqErr = 1070.49

theta = -0.119079	 SumSqErr = 1068.69

theta = -0.118979	 SumSqErr = 1066.9

theta = -0.118879	 SumSqErr = 1065.11

theta = -0.118779	 SumSqErr = 1063.33

theta = -0.118679	 SumSqErr = 1061.54

theta = -0.118579	 SumSqErr = 1059.75

theta = -0.118479	 SumSqErr = 1057.97

theta = -0.118379	 SumSqErr = 1056.19

theta = -0.118279	 SumSqErr = 1054.41

theta = -0.118179	 SumSqErr = 1052.63

theta = -0.118079	 SumSqErr = 1050.85

theta = -0.117979	 SumSqErr = 1049.07

theta = -0.117879	 SumSqErr = 1047.3

theta = -0.117779	 SumSqErr = 1045.52

theta = -0.117679	 SumSqErr = 1043.75

theta = -0.117579	 SumSqErr = 1041.98

theta = -0.117479	 SumSqErr = 1040.21

theta = -0.117379	 SumSqErr = 1038.45

theta = -0.117279	 SumSqErr = 1036.68

theta = -0.117179	 SumSqErr = 1034.92

theta = -0.117079	 SumSqErr = 1033.15

theta = -0.116979	 SumSqErr = 1031.39

theta = -0.116879	 SumSqErr = 1029.63

theta = -0.116779	 SumSqErr = 1027.88

theta = -0.116679	 SumSqErr = 1026.12

theta = -0.116579	 SumSqErr = 1024.36

theta = -0.116479	 SumSqErr = 1022.61

theta = -0.116379	 SumSqErr = 1020.86

theta = -0.116279	 SumSqErr = 1019.11

theta = -0.116179	 SumSqErr = 1017.36

theta = -0.116079	 SumSqErr = 1015.61

theta = -0.115979	 SumSqErr = 1013.86

theta = -0.115879	 SumSqErr = 1012.12

theta = -0.115779	 SumSqErr = 1010.37

theta = -0.115679	 SumSqErr = 1008.63

theta = -0.115579	 SumSqErr = 1006.89

theta = -0.115479	 SumSqErr = 1005.15

theta = -0.115379	 SumSqErr = 1003.42

theta = -0.115279	 SumSqErr = 1001.68

theta = -0.115179	 SumSqErr = 999.945

theta = -0.115079	 SumSqErr = 998.212

theta = -0.114979	 SumSqErr = 996.482

theta = -0.114879	 SumSqErr = 994.752

theta = -0.114779	 SumSqErr = 993.023

theta = -0.114679	 SumSqErr = 991.297

theta = -0.114579	 SumSqErr = 989.572

theta = -0.114479	 SumSqErr = 987.848

theta = -0.114379	 SumSqErr = 986.125

theta = -0.114279	 SumSqErr = 984.404

theta = -0.114179	 SumSqErr = 982.686

theta = -0.114079	 SumSqErr = 980.967

theta = -0.113979	 SumSqErr = 979.249

theta = -0.113879	 SumSqErr = 977.536

theta = -0.113779	 SumSqErr = 975.822

theta = -0.113679	 SumSqErr = 974.112

theta = -0.113579	 SumSqErr = 972.401

theta = -0.113479	 SumSqErr = 970.692

theta = -0.113379	 SumSqErr = 968.984

theta = -0.113279	 SumSqErr = 967.278

theta = -0.113179	 SumSqErr = 965.574

theta = -0.113079	 SumSqErr = 963.872

theta = -0.112979	 SumSqErr = 962.17

theta = -0.112879	 SumSqErr = 960.47

theta = -0.112779	 SumSqErr = 958.772

theta = -0.112679	 SumSqErr = 957.074

theta = -0.112579	 SumSqErr = 955.38

theta = -0.112479	 SumSqErr = 953.687

theta = -0.112379	 SumSqErr = 951.993

theta = -0.112279	 SumSqErr = 950.303

theta = -0.112179	 SumSqErr = 948.613

theta = -0.112079	 SumSqErr = 946.925

theta = -0.111979	 SumSqErr = 945.238

theta = -0.111879	 SumSqErr = 943.554

theta = -0.111779	 SumSqErr = 941.871

theta = -0.111679	 SumSqErr = 940.189

theta = -0.111579	 SumSqErr = 938.509

theta = -0.111479	 SumSqErr = 936.83

theta = -0.111379	 SumSqErr = 935.152

theta = -0.111279	 SumSqErr = 933.476

theta = -0.111179	 SumSqErr = 931.802

theta = -0.111079	 SumSqErr = 930.128

theta = -0.110979	 SumSqErr = 928.457

theta = -0.110879	 SumSqErr = 926.787

theta = -0.110779	 SumSqErr = 925.121

theta = -0.110679	 SumSqErr = 923.452

theta = -0.110579	 SumSqErr = 921.786

theta = -0.110479	 SumSqErr = 920.123

theta = -0.110379	 SumSqErr = 918.461

theta = -0.110279	 SumSqErr = 916.8

theta = -0.110179	 SumSqErr = 915.141

theta = -0.110079	 SumSqErr = 913.483

theta = -0.109979	 SumSqErr = 911.827

theta = -0.109879	 SumSqErr = 910.171

theta = -0.109779	 SumSqErr = 908.518

theta = -0.109679	 SumSqErr = 906.868

theta = -0.109579	 SumSqErr = 905.214

theta = -0.109479	 SumSqErr = 903.568

theta = -0.109379	 SumSqErr = 901.921

theta = -0.109279	 SumSqErr = 900.273

theta = -0.109179	 SumSqErr = 898.629

theta = -0.109079	 SumSqErr = 896.988

theta = -0.108979	 SumSqErr = 895.345

theta = -0.108879	 SumSqErr = 893.705

